الدكتور المشرف,العام الدراسي,اسم المشروع,وصف المشروع
محمود رحال _عثمان اسماعيل ,2019_2020,المساعد الطبي الآلي ,بناء روبوت مساعد طبي يقوم بإعطاء الادوية لمريض في الوقت محدد وتقديم الطعام المناسب 
عامر بوشي _محمد ايمن نعال,2019_2020,المنبه المكاني الذكي,تصميم دارة تقوم بتنبيه المستخدم عند وصوله لمكان معين
محمود رحال _ عثمان اسماعيل , 2019 _2020,تصميم وتنفيذ عربة تسوق ذكية,تطبيق Android يقوم بقراءة الباركود من اجل مسح الأغذية والمنتجات المرغوب شراؤها اثناء وضعها في العربة
,,,
محمود رحال _عثمان اسماعيل,2019_2020,توليد كود برمجي لواجهة المستخدم,تحويل الصور المرسومة من خلال برامج رسوميات او مرسومة بخط اليد بواسطة عدسةالكاميرا او عدسة تلفون الى صفحة ويب html and css
محمود رحال _ ديمة مفتي الشوافعة, 2019_2020,ذراع روبوت فرز وتجميع صناعي ,يوجد العديد من روبوتات والاذرع التي تستخدم في مصانع لتقوم بمهام معينة في خطوط الانتاج التي تنتح عينات مختلفة وتحتاج الي فرز وتجميع وبذلك نلجأ لحل هذه المشكلة باستخدام حساس الالوان وحساس مغناطيسي وستتم عملية الفرز حسب قراءات الحساسات لمكعبات العمل
عامر بوشي,2019_2020,التسوق الالكتروني عبر الانترنيت,يهدف هذا التطبيق الى جعل التسوق اكثر سلاسة وبساطة وجعل عملية عملية الاتمتة بالنسبة لمالكي تطبيق اكثر سهولة في حساب اسعار منتجات ومعرفة عدد القطع المتوفرة في مستودع 
حازم عيسى,2019_2020,نظام ملاحة باستخدام تقنية الواقع المعزز,تقديم تطبيق اندرويد للمستخدم يوفر له نظام ملاحة متكامل بدلا من استخدام خرائط جوجل التقليدية
عامر بوشي _زكريا مهروسة,2019_2020,ادارة متجر الالبسة ,تطبيق خاص للمستخدمين حيث يستطيع الزبون من خلاله استعراض الالبسة الموجودة مع تصنيف الالبسة  وتطبيق الادارة خاص بصاحب المتجر حيث يستطيع استعراض طلبات القادمة واضافتها الى جدول الفواتير واستعراض المستخدمين وؤية اماكنهم 
محمود رحال_زكريا مهروسة,2019_2020,كرسي مساعدة مرضى الشلل الرباعي,تصميم نظام مساعد طبي للإعاقة الحركية حيث مصابين بالشلل لايتمكنو على الحركة والسيطرة على اعضاء الرأس فبتالي هذا المشروع يساعد المريض بالتحريك تبعا لزاوية حركة الرأس
محمود رحال_ حازم عيسى,2019_2020,التحكم بروبوت عن طريق الانترنيت,صناعة روبوت يمكن التحكم به والحصول على قراءات الحساسات بواسطة الانترنيت من اي مكان في العالم 
حازم عيسى,2019_2020,تصميم موقع تواصل اجتماعي ,"قدرة على تواصل مع الاخرين ,والسرعة والسهولة في التواصل , الترويج للمنتجات والخدمات , متابعة الاخبار والاحداث "
محمود رحال_ ديمة مفتي الشوافعة,2019_2020,العصا الذكية لمساعدة المكفوفين,تعبر عصا المكفوفين من اهم الادوات المتاحة في تحديد بعد العوائق في محيط المكفوف حيث تعتبر صلة الوصل بين المكفوف والبيئة المحيطة به 
عامر بوشي_ محمد أيمن نعال,2019_2020,الشيف الذكي,يهدف تطبيق الى مساعدة المستخدمين على ابتكار وصفات طعام بناء على مكونات المتوفرة لديهم مع تقديم نصائح غذائية  
محمود رحال_ زكريا مهروسة,2019_2020,تصميم وتنفيذ روبوت ذاتي الحركة قادر على رسم خرائط ثلاثية الابعاد عبر ماتلاب,روبوت هو الالة ميكانيكية قادرة على قيام بأعمال مبرمجة مسبقا اما بإشارة وسيطرة مباشرة من الانسان او بأشارة من برامج حاسوبية 
زكريا مهروسة,2019_2020,تسجيل حضور طلاب عن طريق قراءة  QR Code ,تصميم برمجية لآخذ تفقد الطلاب عن طريق QR   
زكريا مهروسة,2019_2020,تعرف على الاشخاص من خلال قزحية العين,موضوع معالجة الرقمية للصور يكون لتحسين المعلومات المصورة ولتسهيل تفسيرها وفهمها من قبل البشر بالإضافة الى معالجة بيانات الصور لأغراض التخزين على اوساط مختلفة وارسال الصور من مكان لأخر بأقل عرض نطاق ممكن
ديمة مفتي الشوافعة,2019_2020,تعرف على الموسيقى الشرقية,موسيقى العربية موسيقى مستقلة ولديها تاريخ طويل من التفاعل مع العديد من الانماط الموسيقية في الاقاليم الاخرى وهي مزيج من موسيقى شعوب العالم العربي 
عثمان اسماعيل,2019_2020,طلب تكسي عن بعد باستخدام خرائط جوجل,يعمل تطبيق عن طريق الحجز المسبق ل سيارة أجرة تقوم بنقل الزبائن من اماكن محددة للوصول الى وجهات مختلفة يقوم بتحديدها العميل عن طريق واجهات تطبيق حيث يتم الاعتماد على اختيار الطريق الاقصر انيا داخل التطبيق اعتمادا على خرائط جوجل ويسمع للعميل بمعرفة المسافة والوقت والاجرة
ديمة مفتي الشوافعة,2019_2020,سيارة ذاتية القيادة لتفادي العوائق,سيارة روبوت تحاكي عمل سيارة ذاتية القيادة فهي مركب عليها كاميرا لتمكنها من التعرف على الكائنات من خلال موديول مدرب باستخدام خوارزميات الذكاء الصنهي وتحليل الاشارة ضوئية لمعرفة اذا كانت حمراء او خضراء واكتشاف خطوط طريق وذلك باستخدام الرؤية الحاسوبية بالاضافة الى الحساسات لكي تتجاوز العقبات
ديمة مفتي الشوافعة,2019_2020,                                                                   Enjoy Touring     ,يهدف الى تنظيم الرحلات السياحية حسب المعاير المختلفة لكل مستخدم حيث يقوم بتصنيف رحلات الر رحلات فردية ورحلات عائلية او ضمن مجموعات بالاضافة الى انه يراعي خصائص كل صنف من هذه الاصناف ورغبات كل فئة عمرية 
حازم عيسى,2019_2020,تحكم بحركة نموذج روبوت (سيارة),"تستطيع السيارة عمل بث مباشر عن طريق الكاميرا الى موبايل, جعل تطبيق الاندرويد قادر على استقبال المشهد من كاميرا وعرضه على شاشة الجوال, تستطيع سيارة تفادي حواز ,نستطيع تحكم بالسيارة عن طريق عصا تحكم"
حازم عيسى ,2019_2020,تحكم بالسيارة عن طريق حركة اليد,تحكم بسيارة (روبوت) لاسلكيا عن طريق حساس Gyroscope MPU6050 لتحديد الاتجاه مثبت على قفاز باليد  حيث ترسل الاشارات من الحساس الى متحكم UNO موصول به ومنه الى حاسوب عن طريق شريحة Bluetooth  يتم ارسال الاشارات الى متحكم اخر MEGA  موجود في سيارة ليقوم بتفسير الاشارات المستقبلة واصدار الاوامر الى دارة تحكم بمحرك سيارة
عامر بوشي_ محمد ايمن نعال,2019_2020,تعلم اللغة الانكليزية,تسهيل تعلم اللغة الانكليزية من خلال الاستعانة بالتكنولوجية الحديثة حيث ان مشروع عبارة عن تطبيق Apk يعمل على اجهزة موبايل التي تعمل بنظام اندرويد
محمود رحال_  زكريا مهروسة,2019_2020,تصميم وتنفيذ روبوت اطفاء الآلي,تصميم وتنفيذ نظام الكتروني لكشف وملاحقة حرائق في اماكن يصعب الوصول اليها  فهو يهدف لتوفير وسائل الحماية من خلال اخماد الحرائق وتلبية الاحتياجات مطلوبة عن طريق تركيب عدد من الحساسات والادوات على اعتبار ان روبوت قابل للتعديل وتطوير 
محمود رحال _ عامر بوشي,2019_2020,تعرف على الوجوه,بناء تطبيقين يعتمدان على خوارزميات التعرف على الوجوه و نظام أمني للعثور على المطلوبين حيث يعمل المشروع على تسهيل الاجراءات الروتينية مثل تفقد والبحث عن شخص ما
محمود رحال_ عثمان اسماعيل,2019_2020,تصميم نظام لبيع الادوية في مستودع طبي,يعمل على تخديم المراكز الطبية وتزويدهم بالأدوية اللازمة بشكل آلي والغاء العمل اليدوي 
محمود رحال_عثمان اسماعيل,2019_2020,نظام الالكتروني لترجمة لغة الصم,تصميم نظام برمجي باستخدام ماتلاب وخوارزميات معالجة الصورة الرقمية ليقوم بترجمة الحروف والكلمات العبر عنها بلغة الاشارة لتسهيل عملية ايصال المعلومة من قبل الاشخاص المصابين بالصم الى الاشخاص السليمين 
عامر بوشي_ محمد ايمن نعال,2019_2020,دليل العقارات باستخدام تقنية GPS,يهدف المشروع الى تسهيل التعامل بين اصحاب المكاتب العقارية وزبائن فالمشروع يقوم بتسهيل عملية البحث عن عقار حيث يحوي على واجهه تفاعلية لتحديد متطلبات الباحث من نوع العقار ومجال السعر المطلوب والمنطقة المراد بحث فيها
عامر بوشي _ محمد ايمن نعال,2019_2020,تطبيق اندرويد لحجز تذاكر في شركة طيران,انشاء تطبيق لحجز تذاكر الذي يتيح للمستخدمين الحجز للرحلات وايضا الحجز في الفنادق وذلك حسب المعاير التي يحددها الزبون كما يتيح استعراض الوجهات السياحية الأكثر شهرة ورحلات التي تقدمها المكاتب السياحية كما يتيح للمكاتب اضافت رحلاتها واستقبال طلبات الحجوزات الطيران وفنادق ورد عليها
عامر بوشي,2019_2020,البطاقة الذكية لتوزيع مادة المازوت,ايجاد وسيلة فعالة للتواصل بين الزبون والمحطة حيث يستطيع اي زبون ان يطلب مادة المازوت من محطة قريبة منه وتوصيلها له بأسرع وقت ويستطيع صاحب المحطة ان يستخدم تطبيق لإستقبال طلبات العملاء لمحطته وتخديمهما ومن اجل ذلك فكرة البرنامج ABILI  الذي يعمل على محاكاة العملية سابقة بجميع نواحيها 
عامر بوشي_ محمد ايمن نعال,2019_2020,توزيع طلبات أدوية على الصيدلية,"يتألف مشروع من ثلاث تطبيقات تطبيق مخصص للصيدليات ومحلات البيع مستحضرات التجميل والمولات حيث يستطيع المستخدمون استعراض منتجات حسب نوع محل , تطبيق ثاني هو خاص بل مستودع حيث يتيح له رؤية الطلبات القادمة من مستخدمين وادارتها وارسال الرسائل للمستخدمين واستقبال رسائل منهم , التطبيق الثالث هو مخصص للسائق الذس سيقوم بإيصال الطلبية من مستودع للصيدلية حيث يتيح تطبيق عرض موقع المحل المطلوب"
عامر بوشي_محمد ايمن نعال,2019_2020,ادارة الموارد البشرية,هي تنمية قدرات العاملين وحسين ادائهم ورفع كفائتهم العملية وفنية وايجاد الوسائل المناسبة لرفع معنوياتهم وترغيبهم في العمل والاستمرارية فيه وحثهم على المشاركة لتحقيق اهداف المؤسسة يدخل في هذا كله توفير المزايا والحوافز المادية ومعنوية لاشباع رغباتهم الفردية والجماعية
محمود رحال -عثمان إسماعيل,2020-2021,مراقبة الطفل الرضيع اليا,مساعدة الأم ععى مراقبة طفلها ومراقبة الحالة الصحية للغرفة كدرجة الحرارة والرطوبة بالإضافة الى تزويد النظام بكاميرا للمراقبة عن بعد
محمود رحال -عثمان إسماعيل,2020-2021,تصميم وتنفيذ حاقن الي باستخدام تطبيقAndroid,تصميم جهاز يقوم بحقن كميات محددة من الدواء بالإضافة الى قياس اكسجة الدم ومراقبة نبضات القلب
محمود رحال -عثمان إسماعيل,2020-2021,منظومة مراقبة وتحكم باستخدام الحوسبة السحابية,انشاء منظومة مراقبة وتحكم بالتجهيزات الكهربائية في أي منشاة والهدف تطوير المنظومة بحيث تقوم بربط التجهيزات  الموجودة في أي منشاة بشبكة الانترنت والتحكم بها وادارتها عن بعد
محمود رحال -أحمد بليد,2020-2021,تطبيق سهولة الوصول لتتبع منظومة النقل الداخلي,استخدام بيئة الاندرويد لمحاكاة عمل منظومة باصات النقل الداخلي وذلك من خلال انشاء 3تطبيقات :وهي تطبيق الزبون وتطبيق السائق وتطبيق الموزع
محمود رحال -عثمان إسماعيل,2020-2021,تحكم ومراقبة بيت بلاستيك,التحكم المنظومة بشكل لاسلكي باستخدام  شريحة Arduino-Unoويتم التحكم بعمل المنظومة من خلال أوامر يتم ارسالها مباشرة من الواجهة المسؤولة ثم يتم استقبالها من خلال البلوتوث وتم تثبيت موبايل مزود بكاميرا من اجل المراقبة ومن ثم بثها عبر تطبيق Android
محمود رحال -عثمان إسماعيل,2020-2021,The eye,تطبيق اندرويد يهدف الى مساعدة ضعيفي البصر لرؤية الأشياء المحيطة بهم من حيث التعرف على الكائنات ونطق ما هو الكائن المستكشف
محمود رحال,2020-2021,تحليل وتصميم نظام اتمتة الديوان في مؤسسة المياه,إيجاد حلول مناسبة للأمور الروتينية:تحديد المعطيات وتوصيفها كأرشفة المستندات المتعلقة بالموظفين والوصول الى البيانات المؤرشفة بطريقة سلسة وتصميم واجهة مستخدم بسيطة للتعامل مع البرنامج مع وجود رسائل تنبيه وتأكيد ومساعدة
محمود رحال,2020-2021,مشروع أتمتة الديوان,أتمتة قسم الديوان في مديرية المعاهد التابعة لجامعة حلب  حيث تم الاعتماد على تطبيق الية العمل بالملفات الالكترونية عوضا عن الملفات الورقية المعرضة للتلف والضياع مما يسهل حفظها وسهولة استرجاعها
محمود رحال,2020-2021,أتمتة قسم المحاسبة في مديرية المعاهد,البرنامج يضم الواجهات التالية:موظفون وضرائب وخيارات والدوام والهدف تحسين  الأداء وزيادة السرعة وزيادة الانتاجية
محمود رحال -أحمد بليد-زكريا مهروسة,2020-2021,أتمتة الموارد البشرية في مديرية المعاهد,يهدف نظام أتمتة الموارد البشرية في مديرية المعاهد في مدينة حلب إلى تخديم موظفي المديرية في أتمتة عملهم في نظام الموارد البشرية من أدخال بيانات الموظفين أو استبدالها أو حفظ كل ما يخص الموظف ضمن ملفه الخاص
عامر بوشي -حازم عيسى,2020-2021,تطبيق أندرويد لأتمتة وكالة إعلانات,اهداف المشروع : .1 نشر ثقافة التسويق في المجتمعات العربية. .2 تسهيل تقديم خدمات التسويق واالاعلان ويوجد تطبيق للإدارة وتطبيق للزبون.
عامر بوشي -حازم عيسى,2020-2021,بناء نظام خبير في إدارة الموارد البشرية من حيث تقييم كفاءة الموظفين, مميزات النظام الخبير:سهلة االستخدام ألي مستخدم عادي أو مط ّور ووضوح مجال التطبيق والتعلم من الخبراء بطريقة مباشرة وغير مباشرةوتعليم غير المتخصصين واالستجابة لألسئلة البسيطة وكذلك المعقدة في حدود التطبيق وتوفير مستويات عالية من الخبرةفي حال عدم توفر خبير.
عامر بوشي -حازم عيسى,2020-2021,تطبيق أندرويد يقدم خدمات الكهرباء,"للكهرباء فوائد كثيرة جدا لا تُحصى ولا تُعّد, حيث توفر الوقت والجهد على الأشخاص وتُسهّل عل أعمال حياتهم اليوميةعلى الرغم من فوائد الكهرباء التي لا تعد ولا
تحصى إال أن لها مخاطر"
عامر بوشي ,2020-2021,"تطبيق خدمي لتلبية الحالات الاسعافية
باستخدام الاندرويد",شركة خاصة لسيارات الإسعاف بالإضافة لتطبيق أندرويد لتلبية الحالات الاسعافية بسبب الانتشار الكبير والسريع لنظام الأندرويد
حازم عيسى,2020-2021,تصميم وتنفيذ cncثلاثية الأبعاد," أن كلمة CNC ىي اختصار لػ Control Numerical Computerized و بشكل عاام تعني التحكـ الرقمي باستخداام
الحاسب وبشكل خاص تعني التحكـ الرقمي باالات المبرمجة أو قيادة آالات التشغيل باستخداام الحاسب وذلك باستخداـم
لغة برمجة خاصة
"
محمود رحال -أحمد بليد,2020-2021,تصميم وتنفيذ منظومة مراقبة وتحكم بسيارة,"الهدف من المشروع هو بناء سيارة يتم التحكم بها بأكثر من طريقة وبمجالين(عن قرب, عن بعد) ومراقبة الطريق أثناء حركتها من خلال بث مباشر عبر كاميرا مثبتة بها ومراقبة مؤشراتها الحيوية (سرعة , زيت , حرارة , مياه , وقود , اهتزازات على المحاور(Z,Y,X ) )وتحديد موقعها ( احداثيات الطول والعرض)."
,,,
عامر بوشي,2020_2021,اتمتة مول تسوق,سماح للزبون بالتصفح وطلب منتجات عبر الانترنيت الى بناء وسيلة الترونية تسهل التواصل بين زبون ومحل وذلك باستثمار جهاز موبايل الحاص بل زبون للتواصل عن بعد وبشكل الكتروني مع مركز تسوق والذي يكون لديه تطبيق مخدم ينتظر طلب زبون ويتجاوب مع طلب 
محمود رحال_ عثمان اسماعيل,2020_2021,تصميم ساعة تشابهية باستخدام الاردوينو,الاردينو هو عبارة عن لوحة الكترونية مفتوحة مصدر تتكون من مايكرو كنترولر قابل للبرمجة عن طريق برنامج arduino IDE وهي مصممة لجعل عملية استخدام الكترونات تفاعلية في مشاريع متعددة التخصصات
عثمان اسماعيل,2020_2021,كشف العملة المزيفة باستخدام تقنيات معالجة صورة,يضل تزييف العملات الورقية هاجسا يؤرق العديد من مؤسسات والشركات العامة لتأثيرها  السلبي على الاقتصاد ولصعوبة اكتشافها حيث تخضع جميع مراحل الانتاج عمولات النقد الورقية لاحدث طرق التكنولوجية ولعمليات تأمينية متطورة 
ديمة مفتي الشوافعة,2020_2021,تتبع التلاقي المكاني امخالطي مرضى الكورونا باستخدام تقنية GPS,يهدف هذا المشروع الى استخدام تكنولوجيا وكريسها في خدمة البشرية في ضلهذه الفترة الحرجة على كافة البشر وذلك من خلال تبليغ الاشخاص مستخدمي التطبيق باحتمالية اصابتهم بالوباء جراء مخالطة سابقة لشخص مسحته ايجابية ليقوم بحجز نفسه في منزل او اي مركز عزل صحي واستخدام اجراءات الاحترازية
 حازم عيسى _احمد بليد_ عامر بوشي,2020_2021,اتمتة القاعات الامتحانية باستخدام الخوارزمية الجينية,تحويل عملية توزيع الطلاب والمراقبين على القاعات الامتحانية من عملية يدوية وعشوائية بحتة تتطلب الكثير من جهد ووالوقت الى نظام الكتروني يمكن التعامل معه بسهولة ويسر وذلك من خلال وجود نظام الكتروني متكامل في كافة مجالات المرتبطة بعمليات التوزيع للطلاب ورز مراقبين
عامر بوشي _ جهاد ططري,2020_2021,متجر الالبسة الذكي,يهدف الى توفير جهد الذهني للعميل عندما يقع في حيرة من امره في اختيار الملابس التي تناسبه وهذا مايقع فيه اغلب العملاء الذين يرغبون بشراء ملابس ولايستقرون على موديل الا بعد مضي ساعات طويلة من تصفح ومشاهدة كثير من ملابس
محمود رحال_ عثمان اسماعيل,2020_2021,تحكم بمصنع عن طريق الواي فاي,يهدف لتصميم بنية مصغرة للتحكم في عمل بعض الاجهزة الالكترونية كالمحركات واللدات وغيرها عن طريق تصميم صفحة ويب مهمتها التحكم في هذا المصنع ورفع هذه الصفحة على مخدم على الانترنيت ليتسنى الدخول اليها وتحكم عن بعد
ديمة مفتي  الشوافعة,2020_2021,منصة لبناء وتخديم المتاجر ,يهدف مشروع لبناء منصة رقمية وتخديم متاجر الالكترونية تتمحور الفكرة عامة حول تقديم خدمة للزبائن ليقومو ببناء متاجرهم الالكترونية بدون اي خبرات برمجية او تقنية سابقة وتقديم مساعدة اللازمة لهم لبدء باتجارة الالكترونية وصوصول الى زبائن مستهدفين وتوفير اضافات مساعدة تستخدم ذكاء الاصطناعي كاالتعرف على صوت وchatbot  ومصنف يقوم بتصنيف منتجات حسب الصورة
عامر بوشي_زكريا مهروسة_احمد بليد,2020_2021,تنفيذ نظام حماية وملاحقة المركبات باستخدام انظمة الملاحة عبر الاقمار صناعية,يهدف مشروع لبناء منظومة مراقبة وتحكم بالمركبات وتحديد موقع المركبة حال فقدان وتخاطب وتواصل مع مركبة وتعرف على هوية السارق من خلال فتح تسجيل صوتي وتحكم بلمركبة عن بعد
عامر بوشي_جهاد ططري,2020_2021,اتمتة بطاقة ذكية لتوزيع مواد تموينية,توزيع المواد تموينية لمادتي سكر والارز لكل اسرة وذلك لتجنب الازدحام بين مواطنين في اثناء محاولتهم الحصول على تلك مواد
ديمة مفتي الشوافعة,2020_2021,تطبيق اندرويد Grocery Market,هو تطبيق برمجي في الاساس  حيث انه برنامج تم إنشاؤه بواسطة كومبوتر وقد تم تصميمه وتطويره ليتم تشغيله على اجهزة iphone وهواتف ذكية والاجهزة اللوحية والعديد من الاجهزة محمولة الاخرى 
عامر بوشي_جهاد ططري,2020_2021,نظام GIS لحدائق مدينة حلب,بناء نظام معلومات جغرافي للحدائق في مدينة حلب بتطبيق android للهواتف ذكية من خلال مخططات للحدائق مدعومة بقواعد بيانات مخزنة على حاسب وتحتوي هذه القواعد على احداثيات مخططات ومعلومات المرتبطة مع هذه الاحداثيات
حازم عيسى_زكريامهروسة_عامر بوشي,2020_2021,متابعة مريض عن طريق التنبهات الذكية ,مساعدة المرضى على تذكر مواعيد تناول الادوية ومواعيد مراجعة الاطباء ومتابعة حالتهم الصحية من خلال تحاليل واتباع الحميات الغذائية
ديمة مفتي الشوافعة,2020_2021,تطبيق لتعليم وتطوير مهارات برمجية,يقوم تطبيق بتقديم عديد من كورسات البرمجية لمختلف اللغات ويقسم كل كورس تعليمي الى عدة مستويات وتتركز طريقة تقديم كل كورس عن طريق طرح معلومات بشكل كتل توضيحية لكل مفهوم برمجي تتميز بلبساطة والشرح مدعوم بتنسيقات وفي نهاية كل كورس يوجد امتحان يجبر مستخدم هلى تنفيذه للانتقال الى مستوى تالي 
ديمة مفتي الشوافعة,2020_2021,معرف السيارة_car detector,"يهدف هذا المشروع إلى تصميم وتنفيذ نظام برمجبي متطور يعتمد على تقنيات الذكاء الاصطناعي وتعلم الآلة للكشف عن السيارات وتحديد مواقعها ضمن الصور أو تدفقات الفيديو اللحظية. يقوم النظام بمعالجة الإطارات الصورية وعزل الأجسام المتحركة، ثم استخدام نماذج تدريبية عميقة (Deep Learning) لتمييز السيارات عن غيرها من الأجسام، مع إمكانية تصنيف نوع المركبة (سيارة، شاحنة، دراجة) وتتبع حركتها، مما يخدم أنظمة المرور الذكية والمراقبة الأمنية."""
محمود رحال_ عثمان اسماعيل,2020_2021,دراسة وتصميم منظومة روبوتية خاصة بأعمال وحدات الهندسة عسكرية,توظيف تكنولوجيا المتطورة في تطوير منظومة روبوتية من شأنها حماية الانسان وتخفيف الاضرار المادية وبشرية
عامر بوشي_ جهاد ططري,2020_2021,تطبيق اندرويد نظام GIS للصيدليات المناوبة,يهدف مشروع لمساعدة مستخدم في ايجاد صيدلية مناوبة ومساعدة المستخدم في ايجاد دواء وايجاد اقصر مسافة بين موقعة واقرب صيدلة ومساعدة مستخدم على تحدث مع صيدلي عن اي استفسار عن دواء
زكريا مهروسة,2020_2021,تطبيق اندرويد لحل المعادلات الرياضية المطبوعة ومكتوبة بخط يد,تم انشاء تطبيق اعتمادا على كاميرا موبايل حيث تم استخدام تقنية ocr التي تعتمد على خوارزمية تتبع مسار chain code كأداة في تتبع مسار الحرف وتمييزه قد تم بناء هذا تطبيق وكتابة برمجياته بواسطة لغة جافا وبيئة اندرويد استديو بالاضافة الى وجود الاله حاسبة تحوي متحولات يمكن كتابة معادلات وحلها ايضا قمنا بإضافة ميزة تحويلات القياس
عامر بوشي_جهاد ططري,2020_2021,مشروع الخير,هذا مشروع هو جسر يربط بين المتبرع والمؤسسات الخيريةحيث يتكون من تطبيقين تطبيق للجمعيات الخيرية تقوم الجمعيات من خلاله بإعلان عن نشاطاتها وتطبيق للمسخدمين يتم فيه عرض كل ماتقوم الجمعيات الخيرية بالاعلان عنه
عامر بوشي_ جهاد ططري,2020_2021,بيع وشراء الحيوانات الاليفة ,يهدف هذا تطبيق على تمكين البائع من ترويج حيواناته بالشكل المناسب للزبون وتسهيل التواصل بين الزبون والبائع وتسريع عملية البحث عن حيوانات وشرائها ومعرفة زبون للمراكز الصحية الاقرب لمنزله وتمكين زبائن من الاطلاع على حيوانات الاجنبية
حازم عيسى_ زكريا مهروسة,2020_2021,التعرف على الاشكال باستخداام الشبكات مدربة مسبقا وتعلم العميق,"يهدف هذا المشروع إلى تصميم وتنفيذ نظام متطور للتعرف على الأشكال الهندسية وتصنيفها آلياً باستخدام تقنيات التعلم العميق (Deep Learning). يعتمد المشروع على استراتيجية التعلم الانتقالي (Transfer Learning) من خلال توظيف شبكات عصبية تلافيفية (CNN) مدربة مسبقاً على قواعد بيانات ضخمة (مثل ResNet أو VGG16)، وإعادة ضبطها (Fine-tuning) لتصبح قادرة على تمييز الأشكال بدقة عالية حتى في ظروف الإضاءة المتغيرة أو الزوايا المختلفة. يساهم النظام في أتمتة عمليات الفرز الصناعي والتعرف البصري في الروبوتات."""
محمود رحال -عثمان إسماعيل,2020-2021,مراقبة الطفل الرضيع اليا,مساعدة الأم ععى مراقبة طفلها ومراقبة الحالة الصحية للغرفة كدرجة الحرارة والرطوبة بالإضافة الى تزويد النظام بكاميرا للمراقبة عن بعد
